Feature,Feature_Type,RNN_20k_VO(acac)2,RNN_20k_VOSO4,RNN_20k_VO(OiPr)3,RNN_20k_All_Catalysts,Trans_20k_VO(acac)2,Trans_20k_VOSO4,Trans_20k_VO(OiPr)3,Trans_20k_All_Catalysts,Trans_6M_VO(acac)2,Trans_6M_VOSO4,Trans_6M_VO(OiPr)3,Trans_6M_All_Catalysts,ESA_VO(acac)2,ESA_VOSO4,ESA_VO(OiPr)3,ESA_All_Catalysts
BalabanJ_Lig,Structural,0.027747366,0.073827773,0.00956422,0.014294196,0.021235302,0.040892368,0.002743847,0.007238891,0.040904801,0.079945295,0.007107969,0.160313993,0.019385821,0.036876661,0.005607348,0.00879556
BertzCT_Lig,Structural,0.003362735,0.012741384,0.002003292,0.001822903,0.005632923,0.0142891,0.010854861,0.0027038,0.00451477,0.176389392,0.004021072,0.003365264,0.006160605,0.006353329,0.001975079,0.004013245
Chi0_Lig,Structural,0.006220247,0.009122573,0.001752922,0.00314792,0.008927001,0.005841452,0.005987607,0.003270709,0.005027213,0.001853229,0.002558467,0.003000378,0.010090221,0.004680252,0.003655146,0.00298664
Chi0n_Lig,Structural,0.008772308,0.005964694,0.001353796,0.010205887,0.01503594,0.006997435,0.004559772,0.00572399,0.007903193,0.003253395,0.00465247,0.003818204,0.009611817,0.015327769,0.002236531,0.003444683
Chi0v_Lig,Structural,0.006939691,0.009258528,0.003244616,0.004125927,0.008665255,0.002636254,0.00360045,0.003367603,0.005844093,0.003938104,0.002617323,0.00379676,0.001278209,0.010209334,0.002968915,0.004682937
Chi1_Lig,Structural,0.008823767,0.015531794,0.0066249,0.003395947,0.009302788,0.203349161,0.001975713,0.004325593,0.007886799,0.003339441,0.008602409,0.004497525,0.004611087,0.005676223,0.002174349,0.003996514
Chi1n_Lig,Structural,0.003314215,0.030838084,0.002024865,0.009142411,0.003807927,0.008295056,0.003705308,0.001688524,0.008462486,0.002407757,0.005269879,0.003690056,0.001073467,0.011447696,0.002565367,0.001890885
Chi1v_Lig,Structural,0.005695609,0.043354809,0.003221003,0.003296438,0.004184147,0.006493298,0.005389536,0.002730835,0.009728135,0.001933706,0.004071214,0.00368032,0.004365997,0.023094256,0.002609022,0.003669974
Chi2n_Lig,Structural,0.004401912,0.016440088,0.003534032,0.005325673,0.005475862,0.002654931,0.003879496,0.004878667,0.007496478,0.001862911,0.01512278,0.005635011,0.006175363,0.011977528,0.003164585,0.009223343
Chi2v_Lig,Structural,0.003145636,0.004410556,0.003656369,0.006876852,0.010203889,0.003496746,0.004106511,0.003157871,0.007309934,0.00477402,0.005600122,0.004435111,0.003350737,0.019673382,0.005465527,0.011110574
Chi3n_Lig,Structural,0.002497953,0.001117636,0.002902235,0.009294896,0.006893526,0.004505243,0.005334341,0.003289193,0.003753937,0.001813586,0.005591586,0.005346999,0.001589252,0.012405377,0.002934507,0.008893628
Chi3v_Lig,Structural,0.004856163,0.001073974,0.009126426,0.010204296,0.021508876,0.003829495,0.00854238,0.006064898,0.00962621,0.003182614,0.005528443,0.003635285,0.002028403,0.006923874,0.002878083,0.005592649
Chi4n_Lig,Structural,0.002313391,0.004339432,0.002882908,0.002699728,0.005723907,0.027310481,0.005282734,0.003165981,0.005174375,0.002243249,0.00548365,0.005278197,0.001958993,0.012112999,0.003152621,0.01082949
Chi4v_Lig,Structural,0.004270716,0.031368855,0.004099293,0.00411573,0.004322221,0.029373511,0.007010581,0.009573297,0.004428967,0.001878932,0.00722104,0.003336769,0.002134404,0.013274384,0.003183279,0.008931874
EState_VSA1_Lig,VSA,0.002689212,0.002740041,0.002479618,0.002546513,0.004088773,0.007985698,0.003166034,0.001957224,0.008063461,0.001396504,0.007063328,0.005667879,0.006280351,0.006576163,0.003764273,0.005250361
EState_VSA10_Lig,VSA,0.003772837,0.04022662,0.002470162,0.002444539,0.006102464,0.011092433,0.01301517,0.004983202,0.005592162,0.004564907,0.005868356,0.003195415,0.050234042,0.008801628,0.035808828,0.021188529
