Feature,Feature_Type,RNN_20k_VO(acac)2,RNN_20k_VOSO4,RNN_20k_VO(OiPr)3,RNN_20k_All_Catalysts,Trans_20k_VO(acac)2,Trans_20k_VOSO4,Trans_20k_VO(OiPr)3,Trans_20k_All_Catalysts,Trans_6M_VO(acac)2,Trans_6M_VOSO4,Trans_6M_VO(OiPr)3,Trans_6M_All_Catalysts,ESA_VO(acac)2,ESA_VOSO4,ESA_VO(OiPr)3,ESA_All_Catalysts,Diff_RNN_20k_VO(acac)2,Diff_Trans_20k_VO(acac)2,Diff_Trans_6M_VO(acac)2,Diff_RNN_20k_VOSO4,Diff_Trans_20k_VOSO4,Diff_Trans_6M_VOSO4,Diff_RNN_20k_VO(OiPr)3,Diff_Trans_20k_VO(OiPr)3,Diff_Trans_6M_VO(OiPr)3,Diff_RNN_20k_All_Catalysts,Diff_Trans_20k_All_Catalysts,Diff_Trans_6M_All_Catalysts
BalabanJ_Lig,Structural,0.027747366,0.073827773,0.00956422,0.014294196,0.021235302,0.040892368,0.002743847,0.007238891,0.040486342,0.116781572,0.007387477,0.122621415,0.019385821,0.036876661,0.005607348,0.00879556,0.008361544999999998,0.001849481,0.021100521,0.036951112,0.004015707,0.079904911,0.003956872,-0.0028635009999999996,0.001780129,0.005498636000000001,-0.0015566689999999992,0.113825855
BertzCT_Lig,Structural,0.003362735,0.012741384,0.002003292,0.001822903,0.005632923,0.0142891,0.010854861,0.0027038,0.004644989,0.004103493,0.004729271,0.003242549,0.006160605,0.006353329,0.001975079,0.004013245,-0.0027978700000000005,-0.0005276820000000007,-0.001515616,0.006388055,0.007935771000000001,-0.002249836,2.8213000000000023e-05,0.008879782000000001,0.0027541920000000004,-0.0021903420000000005,-0.0013094450000000002,-0.0007706960000000004
Chi0_Lig,Structural,0.006220247,0.009122573,0.001752922,0.00314792,0.008927001,0.005841452,0.005987607,0.003270709,0.005712238,0.002814776,0.002836616,0.003210917,0.010090221,0.004680252,0.003655146,0.00298664,-0.003869974,-0.0011632199999999995,-0.004377983,0.004442321,0.0011611999999999994,-0.001865476,-0.001902224,0.0023324609999999996,-0.00081853,0.00016127999999999976,0.0002840690000000001,0.00022427700000000016
Chi0n_Lig,Structural,0.008772308,0.005964694,0.001353796,0.010205887,0.01503594,0.006997435,0.004559772,0.00572399,0.009395926,0.001749354,0.004027332,0.003363507,0.009611817,0.015327769,0.002236531,0.003444683,-0.0008395090000000004,0.0054241229999999994,-0.0002158909999999993,-0.009363074999999998,-0.008330334,-0.013578415,-0.0008827349999999999,0.002323241,0.0017908009999999999,0.006761204,0.002279307,-8.117600000000008e-05
Chi0v_Lig,Structural,0.006939691,0.009258528,0.003244616,0.004125927,0.008665255,0.002636254,0.00360045,0.003367603,0.006623725,0.004405398,0.002855391,0.004124609,0.001278209,0.010209334,0.002968915,0.004682937,0.005661482,0.007387046,0.005345516,-0.0009508060000000002,-0.00757308,-0.005803936000000001,0.00027570100000000016,0.0006315349999999999,-0.00011352399999999983,-0.0005570100000000001,-0.001315334,-0.0005583280000000003
Chi1_Lig,Structural,0.008823767,0.015531794,0.0066249,0.003395947,0.009302788,0.203349161,0.001975713,0.004325593,0.007254164,0.003800687,0.008422221,0.004287909,0.004611087,0.005676223,0.002174349,0.003996514,0.00421268,0.0046917009999999995,0.0026430769999999998,0.009855571,0.197672938,-0.0018755360000000001,0.0044505510000000005,-0.00019863599999999986,0.006247872000000001,-0.0006005669999999998,0.00032907900000000035,0.0002913950000000007
Chi1n_Lig,Structural,0.003314215,0.030838084,0.002024865,0.009142411,0.003807927,0.008295056,0.003705308,0.001688524,0.0074585,0.001286546,0.004980016,0.00368758,0.001073467,0.011447696,0.002565367,0.001890885,0.002240748,0.00273446,0.006385033,0.019390388,-0.00315264,-0.01016115,-0.000540502,0.0011399410000000002,0.0024146490000000005,0.0072515259999999995,-0.00020236099999999986,0.0017966950000000003
Chi1v_Lig,Structural,0.005695609,0.043354809,0.003221003,0.003296438,0.004184147,0.006493298,0.005389536,0.002730835,0.010090871,0.000631762,0.004356235,0.003686819,0.004365997,0.023094256,0.002609022,0.003669974,0.001329612,-0.0001818499999999999,0.005724874,0.020260553,-0.016600958,-0.022462494,0.0006119810000000002,0.0027805140000000004,0.001747213,-0.00037353599999999983,-0.0009391389999999999,1.684500000000014e-05
Chi2n_Lig,Structural,0.004401912,0.016440088,0.003534032,0.005325673,0.005475862,0.002654931,0.003879496,0.004878667,0.007104877,0.000767344,0.010660331,0.005720485,0.006175363,0.011977528,0.003164585,0.009223343,-0.0017734509999999997,-0.0006995009999999999,0.0009295140000000002,0.004462559999999999,-0.009322596999999998,-0.011210184,0.00036944699999999974,0.0007149109999999999,0.007495746,-0.0038976699999999998,-0.0043446760000000004,-0.003502858
Chi2v_Lig,Structural,0.003145636,0.004410556,0.003656369,0.006876852,0.010203889,0.003496746,0.004106511,0.003157871,0.00446842,0.001625469,0.006534902,0.003786951,0.003350737,0.019673382,0.005465527,0.011110574,-0.00020510100000000007,0.006853152000000001,0.001117683,-0.015262826,-0.016176636,-0.018047913,-0.0018091580000000004,-0.0013590160000000002,0.001069375,-0.004233722,-0.007952703,-0.007323623
Chi3n_Lig,Structural,0.002497953,0.001117636,0.002902235,0.009294896,0.006893526,0.004505243,0.005334341,0.003289193,0.004673158,0.000976724,0.005654182,0.005027951,0.001589252,0.012405377,0.002934507,0.008893628,0.0009087009999999998,0.0053042739999999994,0.003083906,-0.011287741,-0.007900134,-0.011428653,-3.2271999999999856e-05,0.0023998340000000004,0.002719675,0.00040126799999999976,-0.0056044350000000005,-0.0038656770000000005
