Ligand_SMILES,Catalyst_SMILES,Catalyst_Name,CompatibilityScore,SimilarityScore,CombinedScore,Min_Compatibility,Max_Compatibility,Mean_Compatibility,Compatibility_Similarity_Analysis
O=C(N[C@@H](Cc1ccccc1)C(=O)O)c1ccc(CN2C(=O)C(CC(O)CC3Sc4ccccc4CC3=O)N=C2O)cc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.604227183524798,0.993513317389398,0.7210130236841779,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
CC1(C)CCC2C(=O)N(CC(=O)NC3CC3)C(=O)C3=NC4CCC(C4)C3C2C1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6708615498369421,0.9737720068669014,0.7617346869459298,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
O=C(O)CCCC(CC(=O)N(CCc1ccccc1)CC(=O)O)N1C(=O)CC(c2cccs2)Cc2ccccc2C1=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6044760490152368,0.9943992971551456,0.7214530234572094,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
CC1CC2CC(C1)CC1CC(C2)NC(=O)CN2C(=O)C3CC=CC1CC3C2=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6648428908485863,0.9772822916648748,0.7585747110934729,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
O=C(O)C1=C(O)c2ccccc2C(Oc2cccc3ccccc23)=NN1CC(c1ccccc1)c1ccc(Br)cc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6211573437295145,0.9815166261919251,0.7292651284682377,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
NC(=O)C(CCCC(=O)O)N1C(=O)c2ccccc2C(N(CCCSCc2ccccc2)C(=O)c2ccccc2)C1=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6038630183155961,0.994187330020596,0.720960311827096,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
CC1CCC(NC(=O)C2C3CCCCC32C(=O)NC2=NC(c3ccnc(F)c3)=N2)CC1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6582555129741675,0.9750262929903448,0.7532867469790206,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
O=C(O)CC(Cc1ccccc1)N1C(=O)CNC(=O)CC(NC(Cc2ccc(C(=O)O)cc2)Cc2cccs2)C1=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6011647758490553,0.993941948021132,0.7189979275006783,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
CC(C)N1C(=O)C2CCCCC2C1C(C(=O)N1CC1=O)C(O)C1CCCCC1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6680448370813881,0.970872204237987,0.7588930472283677,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
CC1C(=O)N(C(C)C)C(=O)C2C(C(=O)NC3COC3=O)CC3CCCCC3CC12,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6621276418087823,0.9669311586814217,0.753568696870574,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
O=C(Oc1ccc(Oc2ccccc2C2ON=c3ccccc3=C2Oc2ccc(O)cc2)cc1)c1ccc2ccccc2c1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6222143948511476,0.9829344650482672,0.7304304159102835,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
COc1ccc(-c2c(-c3ccccc3OC(=O)c3ccccc3)n(C(C(=O)O)c3ccccc3)c3ccccc23)cc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6234863849915199,0.9812613187911564,0.7308188651314109,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
O=C(O)C(c1ccccc1)N1C(=O)C(=Cc2cccc3ccccc23)OC1c1ccccc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6239492844819671,0.9798063799142924,0.7307064131116647,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
COc1ccc(OC2=C(C(=O)Nc3ccccc3)c3ccccc3C(c3ccccc3)=Nc3ccccc32)cc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6218263533224588,0.979783591463272,0.7292135247647027,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
O=C(OC1=C(OC(C(=O)O)c2ccccc2)N(c2ccccc2)C1c1ccccc1-c1ccccc1)c1ccccc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6225015186659503,0.9826776274816648,0.7305543513106645,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
CC1(C)C=C2C3C=NNC4CC(=O)N(C(=O)C5CC5)C(=O)C4C(C3)CC2C1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6677317600767028,0.9798807812152814,0.7613764664182763,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
O=C(O)CCCCCN(C(=O)O)C(=O)C(CCc1ccccc1)N1C(=O)CC(c2ccccc2)c2ccsc2C1=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6032490989197297,0.993934585232358,0.7204547448135181,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
COc1ccc(C(Oc2cccc3ccccc23)(C(=O)O)c2c(O)n(-c3ccc(Cl)cc3)c3ccccc23)cc1,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6223869619325559,0.9823306916930078,0.7303700808606914,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
O=C(O)CCCCC(C(=O)N(CCc1ccccc1)CC(=O)O)n1c(C(=O)NCc2ccccc2)nc2ccccc2c1=O,CC(C)O[V](=O)(OC(C)C)OC(C)C,VO(OiPr)3,0.6013579602066396,0.9942846587861072,0.7192359697804798,0.4456505824931315,0.7364429774907348,0.6408560382483968,Comparable
