Feature,Feature_Type,Source,Percentage Difference,Scaled Percentage Difference
BalabanJ_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.113825855,2.5162910903625346
BertzCT_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.000770696,0.07424402004164542
Chi0_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.000224277,0.022179897388362516
Chi0n_Lig,Structural,Diff_Trans_6M_All_Catalysts,-8.117600000000008e-05,0.008084829510817267
Chi0v_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.000558328,0.054329839414690904
Chi1_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.000291395,0.02872301617645166
Chi1n_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.001796695,0.16523431450075277
Chi1v_Lig,Structural,Diff_Trans_6M_All_Catalysts,1.684500000000014e-05,0.0016830828211436646
Chi2n_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.003502858,0.300316273747975
Chi2v_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.007323623,0.5494859684036968
Chi3n_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.003865677,0.32683141286578116
Chi3v_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.002119168,0.19220323842613238
Chi4n_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.00506676,0.4099058998471086
Chi4v_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.0049092999999999,0.39940008632367857
EState_VSA1_Lig,VSA,Diff_Trans_6M_All_Catalysts,-0.001314596,0.12350848063740774
EState_VSA10_Lig,VSA,Diff_Trans_6M_All_Catalysts,-0.017957337,1.0280945766310639
EState_VSA11_Lig,VSA,Diff_Trans_6M_All_Catalysts,0.002794343,0.2464180271164594
EState_VSA2_Lig,VSA,Diff_Trans_6M_All_Catalysts,0.0003229299999999,0.03178254149188383
EState_VSA3_Lig,VSA,Diff_Trans_6M_All_Catalysts,0.0017931839999999,0.16493664446810655
EState_VSA4_Lig,VSA,Diff_Trans_6M_All_Catalysts,-0.0049782419999999,0.4040135217329107
EState_VSA5_Lig,VSA,Diff_Trans_6M_All_Catalysts,-0.00768324,0.5700322053443225
EState_VSA6_Lig,VSA,Diff_Trans_6M_All_Catalysts,-0.0107526109999999,0.7300869770918609
EState_VSA7_Lig,VSA,Diff_Trans_6M_All_Catalysts,-0.0525831769999999,1.833911410976304
EState_VSA8_Lig,VSA,Diff_Trans_6M_All_Catalysts,0.000861221,0.08261364613108586
EState_VSA9_Lig,VSA,Diff_Trans_6M_All_Catalysts,0.0033609219999999,0.28974908470927757
HallKierAlpha_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.0007579199999999,0.0730571345028915
HeavyAtomCount_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.0003493349999999,0.034337173445395996
HeavyAtomMolWt_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.0006770599999999,0.06551242174237569
Kappa1_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.004506078,0.3719826410180625
Kappa2_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.002891284,0.25396633109849925
Kappa3_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.004293459,0.3572169270393539
MaxAbsEStateIndex_Lig,Electronic,Diff_Trans_6M_All_Catalysts,-0.00148845,0.1387570898538392
MaxAbsPartialCharge_Lig,Electronic,Diff_Trans_6M_All_Catalysts,-0.0065080209999999,0.5012612910059664
MaxEStateIndex_Lig,Electronic,Diff_Trans_6M_All_Catalysts,-0.003345347,0.28858269177242213
MaxPartialCharge_Lig,Electronic,Diff_Trans_6M_All_Catalysts,-0.007541462,0.5619822428138925
MinAbsEStateIndex_Lig,Electronic,Diff_Trans_6M_All_Catalysts,0.048388055,1.7645262382482205
MinAbsPartialCharge_Lig,Electronic,Diff_Trans_6M_All_Catalysts,-0.0022578719999999,0.20358324985474455
MinEStateIndex_Lig,Electronic,Diff_Trans_6M_All_Catalysts,-0.003399003,0.29259520820970597
MinPartialCharge_Lig,Electronic,Diff_Trans_6M_All_Catalysts,-0.006509617,0.5013579666071311
MolLogP_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.0043802009999999,0.3632672369480308
MolMR_Lig,Electronic,Diff_Trans_6M_All_Catalysts,0.002454827,0.21952316561961663
MolWt_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.00099044,0.09444071101677345
NHOHCount_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.0037789449999999,0.3205566094283548
NOCount_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.004509304,0.37220500583223537
NumAliphaticCarbocycles_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.003422835,0.2943722681018485
NumAliphaticHeterocycles_Lig,Structural,Diff_Trans_6M_All_Catalysts,-0.042261294,1.6536709276032049
NumAliphaticRings_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.002570428,0.2287619783522321
NumAromaticCarbocycles_Lig,Structural,Diff_Trans_6M_All_Catalysts,0.002422261,0.2169050120316575
