Descriptor Type,Catalyst,RNN_Corr(%),Tr20k_Corr(%),Tr6M_Corr(%),RNN_StdDev(%),Tr20k_StdDev(%),Tr6M_StdDev(%)
Structural,VO(acac)2,39.21846608,33.4480671,36.54586023,0.584115652,0.69994481,0.628171946
Structural,VOSO4,26.5033413,30.49200305,24.94432122,1.53112005,3.241489195,3.324209257
Structural,VO(OiPr)3,36.07287449,34.12955466,51.82186235,2.571995201,0.946988212,0.201542462
Structural,All_Catalysts,10.89068826,13.48178138,41.41700405,3.929765845,6.878978076,3.949534645
VSA,VO(acac)2,11.9708345,22.04959416,20.60054172,0.884353645,0.528012888,1.490260975
VSA,VOSO4,30.06940713,9.707155587,-18.88186415,0.973171076,0.678128925,1.424878012
VSA,VO(OiPr)3,63.89276103,65.6907359,54.05315884,2.145227784,2.115628224,4.195308916
VSA,All_Catalysts,50.16613399,18.28082719,50.87066267,1.559436311,0.411245233,0.621400878
Electronic,VO(acac)2,16.66666667,-6.666666667,30,3.761397294,0.349883348,0.809351192
Electronic,VOSO4,20,-1.666666667,-15,3.200829432,1.158102233,0.266979864
Electronic,VO(OiPr)3,33.33333333,-65,-26.66666667,0.404753824,0.784008368,0.173298562
Electronic,All_Catalysts,51.66666667,31.66666667,56.66666667,0.336190965,1.009856331,1.824532588
